Date,Takings,Donations,Total,Day,Week,Month,Year,CustNumbers
19/07/14,258.9,40,298.9,Sat,16,4,14,54
22/07/14,221.7,0,221.7,Tues,17,4,14,69
23/07/14,190.75,0,190.75,Wed,17,4,14,51
24/07/14,126.2,0,126.2,Thurs,17,4,14,31
25/07/14,184.54,18,202.54,Fri,17,4,14,43
26/07/14,133.05,8,141.05,Sat,17,4,14,38
29/07/14,128.15,0,128.15,Tues,18,5,14,21
30/07/14,262.05,0,262.05,Wed,18,5,14,51
31/07/14,200.15,0,200.15,Thurs,18,5,14,45
01/08/14,251.9,22,273.9,Fri,18,5,14,52
02/08/14,297.2,13,310.2,Sat,18,5,14,68
05/08/14,180.25,7.5,187.75,Tues,19,5,14,33
06/08/14,111.25,0,111.25,Wed,19,5,14,27
07/08/14,116.55,5,121.55,Thurs,19,5,14,25
08/08/14,238.6,0,238.6,Fri,19,5,14,46
09/08/14,119.4,16.5,135.9,Sat,19,5,14,26
12/08/14,172,0,172,Tues,20,5,14,31
13/08/14,155.8,0,155.8,Wed,20,5,14,35
14/08/14,178.95,0,178.95,Thurs,20,5,14,37
15/08/14,274.3,0,274.3,Fri,20,5,14,59
16/08/14,127.2,49.5,176.7,Sat,20,5,14,34
19/08/14,236.9,0,236.9,Tues,21,5,14,45
20/08/14,254.45,0,254.45,Wed,21,5,14,54
21/08/14,186.5,24,210.5,Thurs,21,5,14,44
22/08/14,185.2,0,185.2,Fri,21,5,14,42
23/08/14,245.6,5,250.6,Sat,21,5,14,50
26/08/14,141.75,6,147.75,Tues,22,6,14,31
27/08/14,251,0,251,Thurs,22,6,14,58
28/08/14,220.6,0,220.6,Fri,22,6,14,46
29/08/14,352.65,0,352.65,Sat,22,6,14,72
30/08/14,123.3,31.5,154.8,Tues,22,6,14,27
30/08/14,19.5,0,19.5,Wed,22,6,14,0
,NA,NA,NA,Thurs,23,6,14,NA
,NA,NA,NA,Fri,23,6,14,NA
,NA,NA,NA,Sat,23,6,14,NA
,NA,NA,NA,Tues,23,6,14,NA
,NA,NA,NA,Wed,23,6,14,NA
,NA,NA,NA,Thurs,24,6,14,NA
,NA,NA,NA,Fri,24,6,14,NA
,NA,NA,NA,Sat,24,6,14,NA
,NA,NA,NA,Tues,24,6,14,NA
,NA,NA,NA,Wed,24,6,14,NA
,NA,NA,NA,Thurs,24,6,14,NA
,NA,NA,NA,Fri,25,6,14,NA
,NA,NA,NA,Sat,25,6,14,NA
,NA,NA,NA,Tues,25,6,14,NA
,NA,NA,NA,Wed,25,6,14,NA
,NA,NA,NA,Thurs,25,6,14,NA
,NA,NA,NA,Fri,26,6,14,NA
,NA,NA,NA,Sat,26,6,14,NA
,NA,NA,NA,Tues,26,6,14,NA
,NA,NA,NA,Wed,26,6,14,NA
,NA,NA,NA,Thurs,26,6,14,NA
,NA,NA,NA,Fri,27,7,14,NA
,NA,NA,NA,Sat,27,7,14,NA
,NA,NA,NA,Tues,27,7,14,NA
